date,slip_number,debit_account,debit_amount,credit_account,credit_amount,description,tax_type,remark
2026-03-01,20260301-0001,現金,500000,資本金,500000,事業主からの出資,対象外,会社設立 出資
2026-03-02,20260302-0002,仕入高,300000,買掛金,300000,株式会社ABC 商品仕入,課税（標準税率10%）,商品仕入
2026-03-05,20260305-0003,普通預金,1200000,売上高,1200000,株式会社XYZ 商品販売,課税（標準税率10%）,売上
2026-03-10,20260310-0004,地代家賃,150000,普通預金,150000,3月事務所家賃,対象外,家賃支払
2026-03-15,20260315-0005,給料手当,850000,普通預金,850000,3月分従業員給与,対象外,給与支払
2026-03-20,20260320-0006,消耗品費,45000,現金,45000,文房具購入,課税（標準税率10%）,消耗品
2026-03-25,20260325-0007,買掛金,300000,普通預金,300000,仕入先への支払,対象外,買掛金決済
2026-04-01,20260401-0008,普通預金,800000,売上高,800000,株式会社DEF 商品販売,課税（標準税率10%）,売上
2026-04-05,20260405-0009,旅費交通費,85000,現金,85000,東京出張交通費,課税（標準税率10%）,出張費
2026-04-10,20260410-0010,広告宣伝費,120000,普通預金,120000,ウェブ広告費,課税（標準税率10%）,広告宣伝費
2026-04-15,20260415-0011,減価償却費,60000,減価償却累計額,60000,パソコン減価償却 4月分,対象外,減価償却
2026-04-18,20260418-0012,雑費,25000,現金,25000,会議用お茶・お菓子,課税（標準税率10%）,雑費
2026-04-20,20260420-0013,売掛金,550000,売上高,550000,株式会社GHI 掛売上,課税（標準税率10%）,売掛金
2026-04-25,20260425-0014,通信費,28000,普通預金,28000,電話・インターネット代,課税（標準税率10%）,通信費
2026-04-28,20260428-0015,買掛金,180000,普通預金,180000,仕入先支払,対象外,買掛金支払
2026-03-08,20260308-0016,車両運搬具,450000,普通預金,450000,社用車購入,課税（標準税率10%）,固定資産取得
2026-03-12,20260312-0017,役員報酬,400000,普通預金,400000,代表取締役報酬 3月分,対象外,役員報酬
2026-03-18,20260318-0018,法定福利費,120000,普通預金,120000,社会保険料会社負担分,対象外,福利厚生
2026-04-22,20260422-0019,受取手形,280000,売上高,280000,手形による売上,課税（標準税率10%）,手形売上
2026-04-25,20260425-0020,外注費,65000,買掛金,65000,外部委託加工費,課税（標準税率10%）,外注費
2026-04-30,20260430-0021,支払手数料,12000,普通預金,12000,銀行振込手数料,対象外,手数料
2026-04-30,20260430-0022,雑費,18000,現金,18000,その他雑費,課税（標準税率10%）,雑費
2026-03-30,20260330-0023,未払消費税等,45000,普通預金,45000,3月分消費税納付,対象外,税金納付
2026-04-30,20260430-0024,雑収入,35000,普通預金,35000,自動販売機収入,課税（標準税率10%）,雑収入
2026-04-30,20260430-0025,減価償却費,35000,減価償却累計額,35000,備品減価償却 4月分,対象外,減価償却